Index,Timestamp,Chiller_ID,Label_Type,Status
209,2018-06-03 17:20:00 SGT,,,
210,2018-06-03 17:25:00 SGT,,,
211,2018-06-03 17:30:00 SGT,,,
212,2018-06-03 17:35:00 SGT,,,
213,2018-06-03 17:40:00 SGT,,,
214,2018-06-03 17:45:00 SGT,,,
215,2018-06-03 17:50:00 SGT,,,
216,2018-06-03 17:55:00 SGT,,,
217,2018-06-03 18:00:00 SGT,,,
218,2018-06-03 18:05:00 SGT,,,
219,2018-06-03 18:10:00 SGT,,,
220,2018-06-03 18:15:00 SGT,,,
221,2018-06-03 18:20:00 SGT,,,
222,2018-06-03 18:25:00 SGT,,,
223,2018-06-03 18:30:00 SGT,,,
224,2018-06-03 18:35:00 SGT,,,
225,2018-06-03 18:40:00 SGT,,,
226,2018-06-03 18:45:00 SGT,,,
227,2018-06-03 18:50:00 SGT,,,
228,2018-06-03 18:55:00 SGT,,,
229,2018-06-03 19:00:00 SGT,,,
230,2018-06-03 19:05:00 SGT,,,
231,2018-06-03 19:10:00 SGT,,,
232,2018-06-03 19:15:00 SGT,,,
233,2018-06-03 19:20:00 SGT,,,
234,2018-06-03 19:25:00 SGT,,,
235,2018-06-03 19:30:00 SGT,,,
236,2018-06-03 19:35:00 SGT,,,
237,2018-06-03 19:40:00 SGT,,,
238,2018-06-03 19:45:00 SGT,,,
239,2018-06-03 19:50:00 SGT,,,
240,2018-06-03 19:55:00 SGT,,,
241,2018-06-03 20:00:00 SGT,,,
242,2018-06-03 20:05:00 SGT,,,
243,2018-06-03 20:10:00 SGT,,,
244,2018-06-03 20:15:00 SGT,,,
245,2018-06-03 20:20:00 SGT,,,
246,2018-06-03 20:25:00 SGT,,,
247,2018-06-03 20:30:00 SGT,,,
248,2018-06-03 20:35:00 SGT,,,
249,2018-06-03 20:40:00 SGT,,,
250,2018-06-03 20:45:00 SGT,,,
251,2018-06-03 20:50:00 SGT,,,
252,2018-06-03 20:55:00 SGT,,,
253,2018-06-03 21:00:00 SGT,,,
254,2018-06-03 21:05:00 SGT,,,
255,2018-06-03 21:10:00 SGT,,,
256,2018-06-03 21:15:00 SGT,,,
257,2018-06-03 21:20:00 SGT,,,
258,2018-06-03 21:25:00 SGT,,,
259,2018-06-03 21:30:00 SGT,,,
260,2018-06-03 21:35:00 SGT,,,
261,2018-06-03 21:40:00 SGT,,,
262,2018-06-03 21:45:00 SGT,,,
263,2018-06-03 21:50:00 SGT,,,
264,2018-06-03 21:55:00 SGT,,,
265,2018-06-03 22:00:00 SGT,,,
266,2018-06-03 22:05:00 SGT,,,
267,2018-06-03 22:10:00 SGT,,,
268,2018-06-03 22:15:00 SGT,,,
269,2018-06-03 22:20:00 SGT,,,
270,2018-06-03 22:25:00 SGT,,,
271,2018-06-03 22:30:00 SGT,,,
272,2018-06-03 22:35:00 SGT,,,
273,2018-06-03 22:40:00 SGT,,,
274,2018-06-03 22:45:00 SGT,,,
275,2018-06-03 22:50:00 SGT,,,
276,2018-06-03 22:55:00 SGT,,,
277,2018-06-03 23:00:00 SGT,,,
278,2018-06-03 23:05:00 SGT,,,
279,2018-06-03 23:10:00 SGT,,,
280,2018-06-03 23:15:00 SGT,,,
281,2018-06-03 23:20:00 SGT,,,
282,2018-06-03 23:25:00 SGT,,,
283,2018-06-03 23:30:00 SGT,,,
284,2018-06-03 23:35:00 SGT,,,
285,2018-06-03 23:40:00 SGT,,,
286,2018-06-03 23:45:00 SGT,,,
287,2018-06-03 23:50:00 SGT,,,
288,2018-06-03 23:55:00 SGT,,,
289,2018-06-04 00:00:00 SGT,,,
290,2018-06-04 00:05:00 SGT,,,
291,2018-06-04 00:10:00 SGT,,,
292,2018-06-04 00:15:00 SGT,,,
293,2018-06-04 00:20:00 SGT,,,
294,2018-06-04 00:25:00 SGT,,,
295,2018-06-04 00:30:00 SGT,,,
296,2018-06-04 00:35:00 SGT,,,
297,2018-06-04 00:40:00 SGT,,,
298,2018-06-04 00:45:00 SGT,,,
299,2018-06-04 00:50:00 SGT,,,
300,2018-06-04 00:55:00 SGT,,,
301,2018-06-04 01:00:00 SGT,,,
302,2018-06-04 01:05:00 SGT,,,
303,2018-06-04 01:10:00 SGT,,,
304,2018-06-04 01:15:00 SGT,,,
305,2018-06-04 01:20:00 SGT,,,
306,2018-06-04 01:25:00 SGT,,,
307,2018-06-04 01:30:00 SGT,,,
308,2018-06-04 01:35:00 SGT,,,
309,2018-06-04 01:40:00 SGT,,,
310,2018-06-04 01:45:00 SGT,,,
311,2018-06-04 01:50:00 SGT,,,
312,2018-06-04 01:55:00 SGT,,,
313,2018-06-04 02:00:00 SGT,,,
314,2018-06-04 02:05:00 SGT,,,
315,2018-06-04 02:10:00 SGT,,,
316,2018-06-04 02:15:00 SGT,,,
317,2018-06-04 02:20:00 SGT,,,
318,2018-06-04 02:25:00 SGT,,,
319,2018-06-04 02:30:00 SGT,,,
320,2018-06-04 02:35:00 SGT,,,
321,2018-06-04 02:40:00 SGT,,,
322,2018-06-04 02:45:00 SGT,,,
323,2018-06-04 02:50:00 SGT,,,
324,2018-06-04 02:55:00 SGT,,,
325,2018-06-04 03:00:00 SGT,,,
326,2018-06-04 03:05:00 SGT,,,
327,2018-06-04 03:10:00 SGT,,,
328,2018-06-04 03:15:00 SGT,,,
329,2018-06-04 03:20:00 SGT,,,
330,2018-06-04 03:25:00 SGT,,,
331,2018-06-04 03:30:00 SGT,,,
332,2018-06-04 03:35:00 SGT,,,
333,2018-06-04 03:40:00 SGT,,,
334,2018-06-04 03:45:00 SGT,,,
335,2018-06-04 03:50:00 SGT,,,
336,2018-06-04 03:55:00 SGT,,,
337,2018-06-04 04:00:00 SGT,,,
338,2018-06-04 04:05:00 SGT,,,
339,2018-06-04 04:10:00 SGT,,,
340,2018-06-04 04:15:00 SGT,,,
341,2018-06-04 04:20:00 SGT,,,
342,2018-06-04 04:25:00 SGT,,,
343,2018-06-04 04:30:00 SGT,,,
344,2018-06-04 04:35:00 SGT,,,
345,2018-06-04 04:40:00 SGT,,,
346,2018-06-04 04:45:00 SGT,,,
347,2018-06-04 04:50:00 SGT,,,
348,2018-06-04 04:55:00 SGT,,,
349,2018-06-04 05:00:00 SGT,,,
350,2018-06-04 05:05:00 SGT,,,
351,2018-06-04 05:10:00 SGT,,,
352,2018-06-04 05:15:00 SGT,,,
353,2018-06-04 05:20:00 SGT,,,
354,2018-06-04 05:25:00 SGT,,,
355,2018-06-04 05:30:00 SGT,,,
356,2018-06-04 05:35:00 SGT,,,
357,2018-06-04 05:40:00 SGT,,,
358,2018-06-04 05:45:00 SGT,,,
359,2018-06-04 05:50:00 SGT,,,
360,2018-06-04 05:55:00 SGT,,,
361,2018-06-04 06:00:00 SGT,,,
362,2018-06-04 06:05:00 SGT,,,
363,2018-06-04 06:10:00 SGT,,,
364,2018-06-04 06:15:00 SGT,,,
365,2018-06-04 06:20:00 SGT,,,
366,2018-06-04 06:25:00 SGT,,,
367,2018-06-04 06:30:00 SGT,,,
368,2018-06-04 06:35:00 SGT,,,
369,2018-06-04 06:40:00 SGT,,,
370,2018-06-04 06:45:00 SGT,,,
371,2018-06-04 06:50:00 SGT,,,
372,2018-06-04 06:55:00 SGT,,,
373,2018-06-04 07:00:00 SGT,,,
374,2018-06-04 07:05:00 SGT,,,
375,2018-06-04 07:10:00 SGT,,,
376,2018-06-04 07:15:00 SGT,,,
377,2018-06-04 07:20:00 SGT,,,
378,2018-06-04 07:25:00 SGT,,,
379,2018-06-04 07:30:00 SGT,,,
380,2018-06-04 07:35:00 SGT,,,
381,2018-06-04 07:40:00 SGT,,,
382,2018-06-04 07:45:00 SGT,,,
383,2018-06-04 07:50:00 SGT,,,
384,2018-06-04 07:55:00 SGT,,,
385,2018-06-04 08:00:00 SGT,,,
386,2018-06-04 08:05:00 SGT,,,
387,2018-06-04 08:10:00 SGT,,,
388,2018-06-04 08:15:00 SGT,,,
389,2018-06-04 08:20:00 SGT,,,
390,2018-06-04 08:25:00 SGT,,,
391,2018-06-04 08:30:00 SGT,,,
392,2018-06-04 08:35:00 SGT,,,
393,2018-06-04 08:40:00 SGT,,,
394,2018-06-04 08:45:00 SGT,,,
395,2018-06-04 08:50:00 SGT,,,
396,2018-06-04 08:55:00 SGT,,,
397,2018-06-04 09:00:00 SGT,,,
398,2018-06-04 09:05:00 SGT,,,
399,2018-06-04 09:10:00 SGT,,,
400,2018-06-04 09:15:00 SGT,,,
401,2018-06-04 09:20:00 SGT,,,
402,2018-06-04 09:25:00 SGT,,,
403,2018-06-04 09:30:00 SGT,,,
404,2018-06-04 09:35:00 SGT,,,
405,2018-06-04 09:40:00 SGT,,,
406,2018-06-04 09:45:00 SGT,,,
407,2018-06-04 09:50:00 SGT,,,
408,2018-06-04 09:55:00 SGT,,,
409,2018-06-04 10:00:00 SGT,,,
410,2018-06-04 10:05:00 SGT,,,
411,2018-06-04 10:10:00 SGT,,,
412,2018-06-04 10:15:00 SGT,,,
413,2018-06-04 10:20:00 SGT,,,
414,2018-06-04 10:25:00 SGT,,,
415,2018-06-04 10:30:00 SGT,,,
416,2018-06-04 10:35:00 SGT,,,
417,2018-06-04 10:40:00 SGT,,,
418,2018-06-04 10:45:00 SGT,,,
419,2018-06-04 10:50:00 SGT,,,
420,2018-06-04 10:55:00 SGT,,,
421,2018-06-04 11:00:00 SGT,,,
422,2018-06-04 11:05:00 SGT,,,
423,2018-06-04 11:10:00 SGT,,,
424,2018-06-04 11:15:00 SGT,,,
425,2018-06-04 11:20:00 SGT,,,
426,2018-06-04 11:25:00 SGT,,,
427,2018-06-04 11:30:00 SGT,,,
428,2018-06-04 11:35:00 SGT,,,
429,2018-06-04 11:40:00 SGT,,,
430,2018-06-04 11:45:00 SGT,,,
431,2018-06-04 11:50:00 SGT,,,
